TimeElapsed,Action
16.56,Collision Detected
17.34,Collision Detected
17.76,Collision Detected
16.60,Collision Detected
7.20,Collision Detected
26.46,Collision Detected
26.48,Collision Detected
27.36,Collision Detected
27.80,Collision Detected
28.88,Collision Detected
29.38,Collision Detected
29.62,Collision Detected
30.32,Collision Detected
69.12,Collision Detected
69.58,Collision Detected
69.62,Collision Detected
69.76,Collision Detected
69.80,Collision Detected
69.84,Collision Detected
69.88,Collision Detected
70.06,Collision Detected
70.10,Collision Detected
70.54,Collision Detected
70.72,Collision Detected
70.76,Collision Detected
70.80,Collision Detected
70.98,Collision Detected
71.16,Collision Detected
71.20,Collision Detected
71.24,Collision Detected
71.28,Collision Detected
71.46,Collision Detected
71.64,Collision Detected
71.68,Collision Detected
71.72,Collision Detected
71.76,Collision Detected
71.80,Collision Detected
71.94,Collision Detected
71.98,Collision Detected
72.06,Collision Detected
72.24,Collision Detected
72.32,Collision Detected
72.36,Collision Detected
72.40,Collision Detected
72.58,Collision Detected
72.70,Collision Detected
72.74,Collision Detected
72.88,Collision Detected
73.30,Collision Detected
73.34,Collision Detected
73.60,Collision Detected
74.14,Collision Detected
74.30,Collision Detected
74.40,Collision Detected
74.52,Collision Detected
74.56,Collision Detected
74.68,Collision Detected
74.76,Collision Detected
74.92,Collision Detected
75.08,Collision Detected
75.16,Collision Detected
47.28,Collision Detected
47.64,Collision Detected
48.96,Collision Detected
49.78,Collision Detected
49.96,Collision Detected
73.16,Collision Detected
73.20,Collision Detected
73.24,Collision Detected
73.24,Collision Detected
73.28,Collision Detected
73.28,Collision Detected
73.32,Collision Detected
73.36,Collision Detected
73.48,Collision Detected
73.56,Collision Detected
73.60,Collision Detected
73.64,Collision Detected
73.70,Collision Detected
73.84,Collision Detected
73.90,Collision Detected
73.96,Collision Detected
74.02,Collision Detected
74.08,Collision Detected
74.16,Collision Detected
74.22,Collision Detected
74.28,Collision Detected
74.34,Collision Detected
74.40,Collision Detected
74.54,Collision Detected
74.60,Collision Detected
74.66,Collision Detected
74.72,Collision Detected
74.78,Collision Detected
74.86,Collision Detected
75.02,Collision Detected
75.10,Collision Detected
75.22,Collision Detected
75.22,Collision Detected
75.38,Collision Detected
75.66,Collision Detected
62.94,Collision Detected
63.06,Collision Detected
63.50,Collision Detected
65.74,Collision Detected
67.74,Collision Detected
68.72,Collision Detected
68.76,Collision Detected
68.76,Collision Detected
68.84,Collision Detected
68.86,Collision Detected
69.08,Collision Detected
6.78,Collision Detected
5.10,Collision Detected
6.34,Collision Detected
3.62,Collision Detected
5.38,Collision Detected
5.18,Collision Detected
7.06,Collision Detected
5.06,Collision Detected
6.18,Collision Detected
5.86,Collision Detected
7.48,Collision Detected
8.04,Collision Detected
20.02,Collision Detected
11.08,Collision Detected
12.40,Collision Detected
12.86,Collision Detected
12.96,Collision Detected
13.12,Collision Detected
13.40,Collision Detected
13.58,Collision Detected
13.86,Collision Detected
17.88,Collision Detected
17.96,Collision Detected
18.00,Collision Detected
18.50,Collision Detected
19.34,Collision Detected
10.94,Collision Detected
14.54,Collision Detected
19.10,Collision Detected
19.14,Collision Detected
19.36,Collision Detected
19.42,Collision Detected
19.44,Collision Detected
43.28,Collision Detected
43.32,Collision Detected
43.38,Collision Detected
43.50,Collision Detected
43.60,Collision Detected
43.68,Collision Detected
44.12,Collision Detected
44.38,Collision Detected
45.36,Collision Detected
46.22,Collision Detected
48.86,Collision Detected
51.68,Collision Detected
53.32,Collision Detected
53.58,Collision Detected
55.88,Collision Detected
57.36,Collision Detected
76.98,Collision Detected
95.76,Collision Detected
138.16,Collision Detected
146.02,Collision Detected
11.70,Collision Detected
23.08,Collision Detected
23.28,Collision Detected
23.46,Collision Detected
41.90,Collision Detected
41.94,Collision Detected
41.96,Collision Detected
42.04,Collision Detected
42.26,Collision Detected
42.58,Collision Detected
43.14,Collision Detected
43.98,Collision Detected
44.18,Collision Detected
44.24,Collision Detected
44.92,Collision Detected
48.06,Collision Detected
49.38,Collision Detected
52.44,Collision Detected
52.90,Collision Detected
52.98,Collision Detected
53.42,Collision Detected
54.30,Collision Detected
61.34,Collision Detected
62.08,Collision Detected
62.16,Collision Detected
62.20,Collision Detected
106.34,Collision Detected
107.04,Collision Detected
104.58,Collision Detected
107.88,Collision Detected
